id,name,rank_all,rank_futures,rank_equities_only,profit,trades,win_rate,profit_factor,avg_win,avg_loss,profit_1y,first,last,active_days,green_day_pct,daily_sharpe_ann,max_drawdown,recovery_factor,worst_day,best_day,top5pct_days_share_of_profit,profitable_years,years,recent_asset_mix,recent_median_hold_min,tickers_hidden,twitter,url
11253,Steven Dux,1,,,11772880.56,4334,0.6135,1.77,10168.084,-9112.8685,-33219.16,2016-02-25,2025-12-19,1367,0.7169,2.4821,901946.78,13.0527,-890000.3,383650.106,0.9122,9,10,OPT:2;STK:3,1305.4833,True,@Steven1_994,https://kinfo.com/portfolio/11253/performance
19232,Kyle Williams,2,,,10026938.3,5151,0.5545,1.86,8124.7863,-5449.6485,2364879.37,2019-04-03,2026-09-22,1761,0.5525,2.6121,750632.2912,13.358,-383912.1263,453152.7921,0.9467,8,8,STK:3;OPT:2,47.5667,False,@traderkylec,https://kinfo.com/portfolio/19232/performance
96547,David Veprek/Heliomaster Trading,3,,,10015335.48,22708,0.4764,1.29,4433.1517,-3124.6183,1464564.42,2016-03-21,2026-09-22,2256,0.6099,1.5443,1588050.2598,6.3067,-536192.4957,612806.6959,1.3156,10,11,STK:5,112.7667,True,@veptrader,https://kinfo.com/portfolio/96547/performance
39758,madaz,4,,1,9023711.52,53701,0.9309,1.17,1553.0825,-17865.9204,-255741.32,2017-06-28,2026-09-22,2274,0.8325,0.5268,7910176.0841,1.1408,-1766398.508,1146059.4804,2.8776,6,10,STK:5,2.15,True,@madaznfootballr,https://kinfo.com/portfolio/39758/performance
25458,Aikido Trading Enigma,5,,2,7212524.95,11147,0.6985,1.18,8381.5129,-16401.7779,-1000008.57,2020-05-26,2026-09-22,1538,0.6385,0.5249,4208311.8624,1.7139,-3634995.4133,395168.67,1.9373,5,7,STK:5,32.7417,False,@shiningboy,https://kinfo.com/portfolio/25458/performance
25623,jurn,6,,,5560857.75,6988,0.7572,1.07,15117.6165,-43857.6614,5852072.6,2024-03-27,2026-09-22,638,0.6442,0.7023,4061592.99,1.3691,-1231996.43,812297.02,2.4661,2,3,OPT:4;OTHER:1,1441.9333,False,,https://kinfo.com/portfolio/25623/performance
17255,edu_trades,7,,3,3404851.44,28348,0.7269,1.75,438.6444,-666.7483,805965.73,2019-01-17,2026-09-22,1784,0.8066,4.8638,133931.8692,25.4223,-92487.1437,52489.8241,0.4082,8,8,STK:5,,True,@edu_trades,https://kinfo.com/portfolio/17255/performance
60674,Bobdog,8,,,3404331.03,4445,0.7532,2.67,1625.2122,-1856.7726,3027137.97,2025-01-02,2026-09-21,388,0.7577,3.9815,333423.925,10.2102,-333423.925,218562.343,0.6587,2,2,OPT:5,8640.0,True,@Bobdog1922,https://kinfo.com/portfolio/60674/performance
91159,ravenloft,9,,,2971229.16,2197,0.8475,3.41,2257.8326,-3680.1649,888593.36,2024-01-16,2026-09-21,466,0.8476,3.7842,246801.125,12.039,-225675.99,338980.753,0.6223,3,3,STK:2;OPT:3,11792.0667,False,,https://kinfo.com/portfolio/91159/performance
75748,NeilStrikes,10,,,2724544.3,1525,0.6177,1.49,8836.5288,-9604.5726,908816.12,2014-06-17,2026-04-15,498,0.6225,0.8702,1558018.04,1.7487,-921150.77,1348318.8,1.9429,7,13,SPREAD:4;OPT:1,1440.0,False,@neilstrikes,https://kinfo.com/portfolio/75748/performance
32103,vette,11,,,2721414.42,2487,0.6389,1.85,3732.9027,-3574.7972,1666097.73,2020-06-04,2026-09-21,767,0.6128,1.6073,318616.15,8.5414,-132949.54,499792.52,1.247,6,7,OPT:4;STK:1,38154.75,False,,https://kinfo.com/portfolio/32103/performance
27034,KrisVerma,12,,4,2280493.86,10940,0.8087,1.22,1963.7615,-6806.3266,286386.53,2020-04-29,2026-09-22,1136,0.7315,1.1848,727428.7206,3.135,-173371.6024,156100.6672,1.4586,6,6,STK:5,209.8833,True,@krisverma88,https://kinfo.com/portfolio/27034/performance
75950,blacknugget,13,,5,2162830.66,1612,0.7829,1.73,4069.3582,-8493.4269,1951965.07,2024-10-03,2026-09-22,311,0.8103,2.0206,770735.36,2.8062,-348829.0517,505139.2296,1.0621,3,3,STK:5,6620.55,False,@matt415,https://kinfo.com/portfolio/75950/performance
23730,dom,14,,6,1825055.89,5609,0.3764,1.56,2531.1551,-980.4644,6136.84,2021-01-25,2026-09-22,1232,0.4635,2.0629,161294.13,11.3151,-75951.8,124419.1,1.2774,5,6,STK:5,24.95,False,@dom_mastro10,https://kinfo.com/portfolio/23730/performance
102193,Jay Gamma Trader,15,1,,1767164.32,4371,0.4619,1.43,2926.4487,-1760.0174,1799491.47,2024-03-22,2026-09-22,522,0.5805,1.9851,301095.3319,5.8691,-181081.5401,250715.1588,1.1676,2,3,SPREAD:1;FOP:3;FUT:1,3165.1083,False,@TotalTechnolo13,https://kinfo.com/portfolio/102193/performance
35983,Pace,16,,,1707368.78,9423,0.7153,1.2,1556.0881,-3262.5701,89800.21,2021-09-27,2026-09-22,952,0.5903,1.2913,535019.81,3.1912,-190984.42,255088.77,1.5937,5,6,STK:5,0.0,False,,https://kinfo.com/portfolio/35983/performance
28802,TctTrader,17,,,1705294.92,18815,0.4431,1.27,1034.3181,-649.8968,187647.17,2019-09-03,2026-09-22,1587,0.5482,1.7492,224385.2005,7.5999,-111053.965,101360.4387,1.284,6,8,STK:5,0.0,False,@2008beka,https://kinfo.com/portfolio/28802/performance
80802,Weekly OPTIONS,18,,,1686689.12,1259,0.5616,1.19,14747.8928,-15833.4622,-66187.22,2024-03-04,2026-09-22,416,0.6346,0.8863,1252089.87,1.3471,-571999.96,365836.8,2.2274,2,3,OPT:5,377.6667,True,@StephenOptions,https://kinfo.com/portfolio/80802/performance
15569,greenmachine,19,,7,1655622.82,3137,0.395,1.32,5453.8685,-2687.9453,394888.42,2018-12-26,2026-08-18,922,0.4501,0.8783,1181093.1232,1.4018,-220134.98,495221.11,2.612,6,9,STK:5,1159.1167,False,,https://kinfo.com/portfolio/15569/performance
27093,stratataaa,20,,8,1621183.38,8356,0.3918,1.55,1390.5604,-576.842,556700.92,2018-08-06,2026-09-23,1568,0.5364,3.0681,58992.01,27.4814,-31163.18,53264.3,0.8384,6,9,STK:5,54.2667,False,,https://kinfo.com/portfolio/27093/performance
73520,FC888,21,,,1580079.4,2783,0.4707,1.4,4232.2498,-2691.2205,506524.48,2022-09-29,2026-06-08,407,0.5528,2.0947,386057.08,4.0929,-270034.8,250251.88,0.9914,5,5,OPT:5,7269.2167,False,,https://kinfo.com/portfolio/73520/performance
45466,WingFoiler,22,,,1529388.47,1719,0.9255,4.63,1226.3757,-3295.1197,1273755.86,2024-05-17,2026-09-22,432,0.8773,2.6355,306389.24,4.9917,-275785.94,292876.06,0.6559,3,3,OTHER:5,8640.0,False,,https://kinfo.com/portfolio/45466/performance
34756,onezerozerom,23,,,1378771.35,5601,0.7984,2.11,586.9969,-1103.8783,683613.12,2020-12-30,2026-09-22,797,0.877,2.7844,84363.46,16.3432,-54036.11,221562.49,0.6271,6,7,OPT:5,15859.7667,False,,https://kinfo.com/portfolio/34756/performance
